ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10117,21,2,7,3,8,8,2
10117,60,2,7,4,8,8,2
10117,2,2,7,2,8,8,2
10117,60,2,7,3,8,8,2
10117,21,1,3,2,9,9,1
10118,33,1,7,3,1,9,1
10118,34,1,7,4,8,8,2
10119,88,1,7,4,0,0,1
10119,22,2,3,3,0,0,1
10120,25,1,7,4,9,9,1
10120,46,1,3,1,0,0,1
10121,22,1,5,4,0,0,1
10121,29,2,3,0,0,0,1
10121,32,2,3,0,8,8,2
10122,58,1,7,4,8,8,1
10123,62,1,3,1,0,0,1
10123,76,1,3,4,0,0,1
10123,73,2,3,3,8,8,2
10124,31,2,3,0,0,0,1
10125,17,1,7,3,9,9,1
10125,16,2,7,4,8,8,2
10125,15,1,7,2,8,8,2
10125,17,2,7,4,8,8,2
10126,56,2,3,0,0,0,1
10126,64,1,7,4,0,0,1
10127,76,1,3,3,0,0,1
10127,68,2,3,4,8,8,2
10127,49,2,3,4,8,8,2
10127,24,1,3,0,0,0,1
10127,24,2,3,0,8,8,2
10128,999,9,99,0,9,9,1
10129,61,1,3,4,0,0,1
10129,48,2,99,1,8,8,2
10129,23,1,99,0,0,0,1
10130,62,1,7,2,9,9,1
10130,44,1,3,2,8,8,2
10130,51,2,3,4,9,9,1
10131,35,1,3,0,0,1,1
10131,42,2,3,0,8,8,2
10132,37,2,3,1,0,0,1
10132,57,2,3,4,8,8,2
10132,56,1,3,1,0,0,1
10133,56,1,3,0,0,0,1
10133,54,1,7,4,9,9,1
10134,18,1,3,4,0,0,1
10134,18,2,3,3,0,0,1
10135,26,1,7,4,9,9,1
10135,61,1,3,3,9,9,1
10135,53,1,3,0,0,0,1
10136,22,1,3,4,1,1,1
10136,22,1,7,2,8,8,2
10137,23,1,99,0,0,0,1
10137,24,1,99,0,8,8,2
10138,86,1,3,4,9,9,1
10138,67,1,3,0,0,0,1
10138,17,1,3,2,0,0,1
10138,15,2,3,0,8,8,2
10139,21,1,3,4,9,9,1
10139,29,2,3,3,0,0,1
10139,0,2,11,1,8,8,2
10139,49,1,3,1,0,0,1
10140,42,1,3,4,0,0,1
10140,51,1,3,3,0,0,1
10140,24,2,3,3,8,8,2
10141,30,1,3,3,0,0,1
10141,51,2,3,4,0,0,1
10141,53,1,3,1,0,0,1
10141,23,1,3,0,0,0,1
10141,23,2,3,1,0,0,1
10141,45,1,3,2,0,0,1
10141,26,1,3,1,0,0,1
10141,62,1,3,1,0,0,1
10141,26,1,3,0,0,0,1
10141,45,1,3,0,8,8,2
10141,44,1,3,0,8,8,2
10141,73,1,3,0,8,8,2
10141,40,2,3,0,8,8,2
10141,3,2,10,0,8,8,2
10142,56,2,5,4,1,0,1
10142,56,2,5,4,8,8,2
10143,20,1,3,0,0,0,1
